ティッカー,銘柄（英語）,事業内容,市場
MCHP,Microchip Technologyマイクロチップ テクノロジー,制御関連製品およびアプリケーションの設計、製造、販売に従事,NASDAQ
MCK,McKessonマケッソン,医薬・医療品卸およびサービス会社,NYSE
MCO,Moody'sムーディーズ,米国の大手格付け機関,NYSE
MCY,Mercury Generalマーキュリー ゼネラル,自動車保険引受会社。主にカリフォリニア州で代理店と通じて個人向け自動車保険の販売を手掛ける。,NYSE
MD,MEDNAX Incメドナックス,子会社を通して病院を対象に新生児、母体・胎児、小児循環器、小児集中治療などの分野で専門サービスを提供している院内業務管理サービスの持株会社。,NYSE
MDB,MongoDBモンゴDB,オープンソースのデータベースを開発・提供している会社,NASDAQ
MDC,MDC Holdings IncMDCホールディングズ,子会社を通じて、RichmondAmericanHomesブランドの住宅を建設・販売している住宅建設会社。,NYSE
MDCO,Medicines Companyメディシンズ カンパニー,救急患者向け医薬品を提供,NASDAQ
MDLA,Medallia Incメダリア,企業向けにカスタマーエクスペリエンス管理システムを提供している会社。,NYSE
MDLZ,Mondelez Internationalモンダリーズ インターナショナル,オレオやナビスコなどの世界的なスナック菓子メーカー,NASDAQ
MDP,Meredith Corporationメレディス,総合メディア会社。,NYSE
MDRX,Allscripts Misys Healthcare Solutionsオールスクリプツ マイシス ヘルスケア ソリューションズ,臨床ソフトウエアを開発･販売する医療関連ソフトウエア会社,NASDAQ
MDT,Medtronicメドトロニック,医療・健康関連機器メーカー,NYSE
MDU,MDU Resources GroupMDU リソーシーズ グループ,建設資材の販売と請負事業を行う,NYSE
MELI,MercadoLibreメルカドリブレ,南米で事業を行うアルゼンチンのEコマース会社,NASDAQ
MERC,Mercer International Incマーサー インターナショナル,カナダのパルプ製造会社。,NASDAQ
MESA,Mesa Air Groupメサ エアー グループ,米国の地域航空旅客・貸物サービス持株会社。子会社を通じて、旅客や貨物の定期便運航サービスを提供している。,NASDAQ
MET,Metlifeメットライフ,生命保険を中心に総合金融サービスを提供,NYSE
MFC,Manulife Financialマニュライフ ファイナンシャル,カナダの大手保険会社,NYSE
MFIN,Medallion Financial Corpメダリオン ファイナンシャル,特殊金融会社。タクシーの営業免許証、関連資産の購入および、劣後ローン、消費者ローンを提供。,NASDAQ
MGA,Magna Internationalマグナ インターナショナル,カナダの自動車システム・メーカー,NYSE
MGI,MoneyGram Internationalマネーグラム・インターナショナル,1940年設立の決済サービス会社。代理店や金融機関を通じて個人、法人向けの決済サービスを手掛ける。国際送金事業、フィナンシャルペーパープロダクト事業を行う。,NASDAQ
MGLN,Magellan Health Services Incマゼラン ヘルス サービシズ,行動療法専門のヘルスケアサービス会社。,NASDAQ
MGM,MGM Resorts InternationalMGM リゾート インターナショナル,ホテル、カジノの経営会社,NYSE
MGNX,MacroGenics Incマイクロジェニックス,自己免疫疾患、がん、感染症の治療薬を専門とする生物製剤の新薬開発会社。,NASDAQ
MGPI,MGP Ingredients IncMGPイングリディエンツ,米国の蒸留製品製造持株会社。,NASDAQ
MGTX,MeiraGTxメイラGTx,米国（ケイマン籍）のバイオ医薬品企業。遺伝子治療製造および形質転換遺伝子制御技術を提供している。,NASDAQ
MHK,Mohawk Industriesモホーク インダストリーズ,カーペットやセラミ ックタイルなどの床製品メーカー,NYSE
MIC,Macquarie Infrastructureマッコーリー インフラストラクチャー,各種インフラ事業の保有、経営、投資に従事するインフラ投資会社。,NYSE
MIDD,Middleby Corpミドルビー,Marshall、Southbendブランドの厨房機器メーカー,NASDAQ
MIK,Michaels Cos Incマイケルズ カンパニーズ,米国の小売店運営会社。,NASDAQ
MIME,Mimecast Ltdマイムキャスト,英国(ジャージー島籍)のIT企業。クラウドベースのデータ保護、電子メールのセキュリティーなどITに関わるリスク管理サービスを提供する。,NASDAQ
MINI,Mobile Miniモバイル ミニ,移動式倉庫ユニットのリースによるソリューションを提供する物流サービス会社。,NASDAQ
MITK,Mitek Systems Incマイテック システムズ,書類画像処理業界を対象に、文字認識技術・製品・サービスを提供しているソフトウエア会社。,NASDAQ
MKC,McCormickマコーミック,調味料メーカー,NYSE
MKL,Markelマーケル,ニッチ分野の特殊保険会社,NYSE
MKSI,MKS InstrumentsMKSインスツルメンツ,1961年設立、半導体と類似産業の製造工程におけるガスの制御・分析に使用される機器を製造する。製品はフラットパネルディスプレー、光ファイバーケーブル等に利用される。,NASDAQ
MLHR,Herman Miller Incハーマンミラー,オフィス内装、家具システム、製品、およびサービスの研究、設計、製造、販売を手掛けているオフィス家具メーカー。,NASDAQ
MLI,Mueller Industries Incミューラー インダストリーズ,真鍮、銅、プラスチック、アルミ製品などを製造・販売しているメーカー。,NYSE
MLM,Martin Marietta Materialsマーチン マリエッタ マテリアルズ,高速道路、インフラ整備、商業施設、住宅用資材を提供する建設用骨材メーカー,NYSE
MLNT,Melinta Therapeutics Incメリンタ セラピューティクス,呼吸器感染症や皮膚組織感染症のための抗生物質を開発するバイオ医薬品メーカー。,NASDAQ
MLNX,Mellanox Technologiesメラノックス テクノロジーズ,イスラエルの通信機器メーカー,NASDAQ
MMC,Marsh & McLennanマーシュ アンド マクレナン,コンサルタント サービス会社,NYSE
MMM,3Mスリーエム,化学中心の大手複合企業,NYSE
MMS,MAXIMUS Incマキシマス,米国の州・地方政府にサービスを提供するプログラム管理・コンサルティング会社。,NYSE
MMYT,Makemytripメイクマイトリップ,インドのネット旅行代理店,NASDAQ
MNK,Mallinckrodtマリンクロット,アイルランドに本社をおく、特殊医薬品の製造及び販売会社,NYSE
MNKD,MannKindマンカインド,糖尿病、がん、炎症、自己免疫疾患などの治療薬の開発、商業化に注力しているバイオ医薬品メーカー。,NASDAQ
MNLO,Menlo Therapeuticsメンロー セラピューティクス,米国のバイオ医薬品メーカー。臨床段階で、主に皮膚疾患に対する治療薬の開発・製品化に従事する。,NASDAQ
MNOV,MediciNovaメディシノバ,2000年設立のバイオ医薬品メーカー。喘息、慢性閉塞性肺疾患、進行型多発性硬化症、固形がんなどの治療向けに低分子医薬品の獲得・開発を手掛ける。,NASDAQ
MNRO,Monroモンロ,米国東部の自社店舗で自動車底部の修理とタイヤサービスを手掛ける自動車修理チェーン店,NASDAQ
MNST,Monster Beverageモンスター ビバレッジ,栄養ドリンクやフルーツジュースを扱う飲料メーカー,NASDAQ
MO,Altria Groupアルトリア グループ,たばこ・食品大手,NYSE
MOD,Modine Manufacturing Companyモーディン マニュファクチャリング,熱伝導・蓄熱テクノロジー製品メーカー。,NYSE
MOH,Molina Healthcare Incモリーナ ヘルスケア,健康保険サービスを提供するマネージドケア・サービス会社。,NYSE
MORN,Morningstarモーニングスター,投資情報サービスを提供,NASDAQ
MOS,Mosaicモザイク,肥料の製造・販売会社,NYSE
MOV,Movado Group Incモバド グループ,時計メーカー。北米、西欧、東アジアで複数のブランドの時計を販売。,NYSE
MPC,Marathon Petroleumマラソン ペトロレアム,石油の精製・輸送・販売に従事,NYSE
MPWR,Monolithic Power Systems Incモノリシック パワー システムズ,世界で事業を展開する電力ソリューションの設計・開発会社。,NASDAQ
MRAM,Everspin Technologiesエバースピン テクノロジー,アプリケーション向けの離散･組込磁気抵抗メモリの設計･製造･配送に従事する米国を拠点とする会社。,NASDAQ
MRC,MRC GlobalMRC グローバル,パイプ、バルブ、金具を販売,NYSE
MRCY,Mercury Systems Incマーキュリー システムズ,リアルタイム・デジタル信号処理システムの設計、製造、販売を手掛けコンピュータ・システム・メーカー。,NASDAQ
MRIN,Marin Softwareマリンソフトウェア,オンライン広告管理プラットフォームサービスを提供する企業,NASDAQ
MRK,Merckメルク,大手製薬会社,NYSE
MRNA,Moderna Incモデルナ,臨床試験段階のバイオテクノロジー会社。,NASDAQ
MRNS,Marinus Pharmaceuticals Incマリナス ファーマシューティカルズ,重度の神経障害・精神障害に対する治療薬の開発、商品化を手掛ける医薬品メーカー。,NASDAQ
MRO,Marathon Oilマラソン オイル,総合石油会社,NYSE
MRVL,Marvell Technology Groupマーベル テクノロジー グループ,バミューダ籍の集積回路（IC）メーカー,NASDAQ
MS,Morgan Stanleyモルガン スタンレー,大手証券金融サービス会社,NYSE
MSA,MSA Safety IncorporatedMSAセーフティー,人々や設備を保護するための安全用品の開発、製造、販売を手掛ける安全用品メーカー。,NYSE
MSCI,MSCIMSCI,投資顧問会社,NYSE
MSFT,Microsoftマイクロソフト,ソフトウェア・情報処理サービス,NASDAQ
MSG,The Madison Square Garden Company Aマディソン スクエア ガーデン A,スポーツ・娯楽・メディア会社。スポーツ・フランチャイズを保有・運営。,NYSE
MSGN,MSG Networks AMSG ネットワークス A,スポーツ・娯楽サービス会社。,NYSE
MSI,Motorola Solutionsモトローラ ソリューションズ,ネットワーク機器大手,NYSE
MSM,MSC Industrial Direct AMSC インダストリアル ダイレクト A,製造業者へ製品修理用の部品などを提供,NYSE
